OCR Text,Ground Truth,Model Prediction,CER,WER
"Witness fell badly cut and bleeding,and while down defendantkicked him in the stomach.","Witness fell badly cut and bleeding, and while down defendant kicked him in the stomach.","Witness fell badly cut and bleeding, and while down defendant kicked him in the stomach.",0.0,0.0
At a quarter to eight o'clock in the evening the witness left him in his room sitting In an armchair near the fire whilst he went to get the tray ready. for dinner.,"At a quarter to eight o'clock in the evening the witness left him in his room sitting in an armchair near the fire whilst he went to get the tray ready, for dinner.",At a quarter to eight o'clock in the evening the witness left him in his room sitting in an armchair near the fire whilst he went to get the tray ready for dinner.,0.006097560975609756,0.030303030303030304
"The chief evidence against the defendant was that of a gentleman named Onslow, who said that on the 29th of last month he saw a bullock in a field of the defendant's very sick and unable to move.","The chief evidence against the defendant was that of a gentleman named Onslow, who said that on the 29th of last month he saw a bullock in a field of the defendant's very sick and unable to move.","The chief evidence against the defendant was that of a gentleman named Onslow, who said that on the 29th of last month he saw a bullock in a field of the defendant's very sick and unable to move.",0.0,0.0
"Witness seized him and dragged him into the hall, notwithstand- ing the protestatidas of the prisoner that he was not the man.","Witness seized him and dragged him into the hall, notwithstanding the protestations of the prisoner that he was not the man.","Witness seized him and dragged him into the hall, not acknowledging the protestations of the prisoner that he was not the man.",0.08064516129032258,0.09523809523809523
"-1. Rippington, pork. butcher, 35, Uppier Marylebone-street, scales ,oz short, third ofeunce, 20s","-E. Rippington, pork-butcher, 35, Upper Marylebone-street, scales 1/4oz short, third offence, 20s","-1. Rippington, pork butcher, 35, Uppier Marylebone-street, scales 6oz short, third of 6oz, 20s",0.1134020618556701,0.5833333333333334
"-A lady lname"" Barnard, who lives at Norbiton, was charged on remand at the Westminster police-court on U eWdnes- day, with robbing the Army and Navy stores.","-A lady named Barnard, who lives at Norbiton, was charged on remand at the Westminster police-court on Wednesday, with robbing the Army and Navy stores.","-A lady named Barnard, who lives at Norbiton, was charged on remand at the Westminster police-court on Wednesday, with robbing the Army and Navy stores.",0.0,0.0
BATERSEA WIFE MURDER.,BATTERSEA WIFE MURDER.,BATERSEA WIFE MURDER.,0.045454545454545456,0.3333333333333333
"Harriett Taylor, who lives in the neighbourhood, said she knew Stokes well.","Harriett Taylor, who lives in the neighbourhood, said she knew Stokes well.","Harriett Taylor, who lives in the neighbourhood, said she knew Stokes well.",0.0,0.0
"The prisoner struggled andd eaid, ""What are yu I , doing-you bave made a mistake; where are your, 1d d witnesses t''","The prisoner struggled and said, ""What are you doing-you have made a mistake; where are your witnesses?""","The prisoner struggled and said, ""What are you doing? You have made a mistake; where are your witnesses?""",0.028846153846153848,0.11764705882352941
Inspector Sewell deposed to the prisoner surrendering at Brixton Police-station.,Inspector Sewell deposed to the prisoner surrendering at Brixton Police-station.,Inspector Sewell deposed to the prisoner surrendering at Brixton Police-station.,0.0,0.0
"-Mr. George Kirk, the solicitor engaged for the defence, told our reporter that he did not feel at liberty to disclose the details of the evi- dence which he was prepared to ofe~r; but he -added that, to put the matter briefly, be intended to establish an alibi.","–Mr. George Kirk, the solicitor engaged for the defence, told our reporter that he did not feel at liberty to disclose the details of the evidence which he was prepared to offer; but he added that, to put the matter briefly, he intended to establish an alibi.","-Mr. George Kirk, the solicitor engaged for the defence, told our reporter that he did not feel at liberty to disclose the details of the evidence which he was prepared to give; but he added that, to put the matter briefly, be intended to establish an alibi.",0.023166023166023165,0.06382978723404255
-ALL13ED XMVLAUGHTER BY CoceTRaCTORs.,-ALLEGED MANSLAUGHTER BY CONTRACTORS.,-ALLEGED XMVLAUGHTER BY CONTRACTORS.,0.10810810810810811,0.25
"Msrs. Payne, a wvitness, who reslide.1 in the same house with the prisoner, said that thde child was crying almost the whole of tileday.","Mrs. Payne, a witness, who resided in the same house with the prisoner, said that the child was crying almost the whole of the day.","Ms. Payne, a witness, who resided in the same house with the prisoner, said that the child was crying almost the whole of the day.",0.007633587786259542,0.04
"CHAR0.E OF ATTEMPT TO MURDER.,",CHARGE OF ATTEMPT TO MURDER.,CHARGE OF ATTEMPT TO MURDER.,0.0,0.0
"Either let the country be given up to the aris- tocracy aind parsons, or protect the tenantsfrom worse than slavery.","Either let the country be given up to the aristocracy and parsons, or protect the tenants from worse than slavery.","Either let the country be given up to the aris-tocracy parsons, or protect the tenants from worse than slavery.",0.043859649122807015,0.1
"A constable was then sent for, several persons assem. bled on the spot in a short time, and a search was in. stituted, which ended in the discovery of the young. est child in the ditch.","A constable was then sent for, several persons assembled on the spot in a short time, and a search was instituted, which ended in the discovery of the youngest child in the ditch.","A constable was then sent for, several persons appeared on the spot in a short time, and a search was commenced, which ended in the discovery of the young child in the ditch.",0.0893854748603352,0.09090909090909091
"-COnaiderable excitement was occasioned in the neighbourhood of Hume's-close, Canangate, by the- report of a murder, of which a labouring man residing there was the victim, and of which his wife, it is alleged, was the perpetrator.","-Considerable excitement was occasioned in the neighbourhood of Hume's-close, Canongate, by the report of a murder, of which a labouring man residing there was the victim, and of which his wife, it is alleged, was the perpetrator.","Inspectable excitement was occasioned in the neighbourhood of Hume's-close, Canangate, by the report of a murder, of which a labouring man residing there was the victim, and of which his wife, it is alleged, was the perpetrator.",0.034782608695652174,0.05405405405405406
"The inquiry excited the utmost interest, ald gany tb gmWialc and private friends of the lunatic and family were presentt","The inquiry excited the utmost interest, and many theatrical and private friends of the lunatic and family were present.","The inquiry excited the utmost interest, and many public and private friends of the lunatic and family were present.",0.06666666666666667,0.05263157894736842
"A closer inspection, however, .shswed that the sheets, blankets, and bedding, had been recently washed, with a view to remove any stains, but -on the pillows thece were some visible traces of blood.","A closer inspection, however, showed that the sheets, blankets, and bedding, had been recently washed, with a view to remove any stains, but on the pillows there were some visible traces of blood.","A closer inspection, however, showed that the sheets, blankets, and bedding, had been recently washed, with a view to remove any stains, but on the pillows there were some visible traces of blood.",0.0,0.0
"Dr. William J. Sheppard said the deceesed, on examina tion of the body, revealed that both shoulders were crnshed, the arnie nearly ninputated, aud the chest crnshed in,","Dr. William J. Sheppard said the deceased, on examination of the body, revealed that both shoulders were crushed, the arms nearly amputated, and the chest crushed in.","Dr. William J. Sheppard said the examination, on examination of the body, revealed that both shoulders were crnshed, the armpits nearly amputated, and the chest crushed in.",0.08433734939759036,0.1111111111111111
"Police-sergeant 35 came to his assistance, and was kicked by Greenwood.","Police-sergeant 35 came to his assistance, and was kicked by Greenwood.","Police-sergeant 35 came to his assistance, and was kicked by Greenwood.",0.0,0.0
-The deputy-chairman therefore sentenced the prisoner to be imprisoned and kept to hard labour in the house of correction for six calendar months.,-The deputy-chairman therefore sentenced the prisoner to be imprisoned and kept to hard labour in the house of correction for six calendar months.,-The deputy-chairman therefore sentenced the prisoner to be imprisoned and kept to hard labour in the house of correction for six calendar months.,0.0,0.0
"After a short absence they returned, and fouind the prisoners ""`Guilty.""","After a short absence they returned, and found the prisoners ""Guilty.""","After a short absence they returned, and called the prisoners ""Guilty.""",0.07142857142857142,0.09090909090909091
