OCR Text,Ground Truth,Model Prediction,CER
"The pri- soner at this moment 'drew a razor from his pocket inflicted a fearful gash in her throat, and she fell to the ground, exclaiming, "" Aunt, I am killed,"" which were all the words she could utter before she was a corpse.","The prisoner at this moment drew a razor from his pocket inflicted a fearful gash in her throat, and she fell to the ground, exclaiming, ""Aunt, I am killed,"" which were all the words she could utter before she was a corpse.",Fix OCR errors in the following text:,0.8699551569506726
I was not in the habit of receiving telegrams from Tours.,I was not in the habit of receiving telegrams from Tours.,Fix OCR errors in the following text:,0.7368421052631579
Witnesssaid-shewaeindig- nant.,Witness said she was indignant.,Fix OCR errors in the following text:,0.8709677419354839
-Mr. Wallace said if the jury would adjourn he would offer a reward of 01. with the greatest of pleasure,-Mr. Wallace said if the jury would adjourn he would offer a reward of 50l. with the greatest of pleasure.,Fix OCR errors in the following text:,0.8113207547169812
"He had never seen theprisoner before, and Mr. John Porter was alive and very well that morning.","He had never seen the prisoner before, and Mr. John Porter was alive and very well that morning.",Fix OCR errors in the following text:,0.7916666666666666
"2i Senior, Thursdar, Nov. ' Bee tIy, grid ec, tc. 4.","2d Session, Thursday, Nov. 2 Bye Day, Friday, Dec. 4.",Fix OCR errors in the following text:,0.8113207547169812
"She invited witness to go out on Sunday, and next morning witness, the two prisoners, and a boy named Chris. topher Baker, all went to Woodford together for an excursion.","She invited witness to go out on Sunday, and next morning witness, the two prisoners, and a boy named Christopher Baker, all went to Woodford together for an excursion.",Fix OCR errors in the following text:,0.8511904761904762
"Several hours afterwards the police were induced to pay another visit, and on examining the box found the bodies of two more infants.","Several hours afterwards the police were induced to pay another visit, and on examining the box found the bodies of two more infants.",Fix OCR errors in the following text:,0.8045112781954887
"ife caught the prisoner bythe wrist, and he then kiekedhim.","He caught the prisoner by the wrist, and he then kicked him.",Fix OCR errors in the following text:,0.7666666666666667
SUICIDE OF AN ANARCL11ST.,SUICIDE OF AN ANARCHIST.,Fix OCR errors in the following text:,1.2083333333333333
"Baving obtained from a Mzs. Willis, Wife E of a grocr, a number of small articles as presents to c her mnNrrierl ulaighter, he went siraightway to another v West Broimwich grocer named Hodl:ets, arid handed v over the airiclol he had obta'ned frLorn Mrs. Willis as v presents fr-rni their ahsent brother, who was about to C he marriLd,","Having obtained from a Mrs. Willis, wife of a grocer, a number of small articles as presents to her married daughter, he went straightway to another West Bromwich grocer named Hodgetts, and handed over the articles he had obtained from Mrs. Willis as presents from their absent brother, who was about to be married.",Fix OCR errors in the following text:,0.8984126984126984
"Prisoner had nothing to say, he said, why sentence should not be passed.","Prisoner had nothing to say, he said, why sentence should not be passed.",Fix OCR errors in the following text:,0.7916666666666666
