Sample ID,Date,Publication,OCR Text,Ground Truth,CER
3200810955,1892-11-05,Illustrated Police News,"Witness fell badly cut and bleeding,and while down defendantkicked him in the stomach.","Witness fell badly cut and bleeding, and while down defendant kicked him in the stomach.",0.0227272727272727
3200810261,1892-04-02,Illustrated Police News,At a quarter to eight o'clock in the evening the witness left him in his room sitting In an armchair near the fire whilst he went to get the tray ready. for dinner.,"At a quarter to eight o'clock in the evening the witness left him in his room sitting in an armchair near the fire whilst he went to get the tray ready, for dinner.",0.0121951219512195
3206206772,1859-10-30,Lloyd's Illustrated Newspaper,"The chief evidence against the defendant was that of a gentleman named Onslow, who said that on the 29th of last month he saw a bullock in a field of the defendant's very sick and unable to move.","The chief evidence against the defendant was that of a gentleman named Onslow, who said that on the 29th of last month he saw a bullock in a field of the defendant's very sick and unable to move.",0.0
3206277695,1891-09-27,Lloyd's Illustrated Newspaper,"Witness seized him and dragged him into the hall, notwithstand- ing the protestatidas of the prisoner that he was not the man.","Witness seized him and dragged him into the hall, notwithstanding the protestations of the prisoner that he was not the man.",0.032258064516129
3206239500,1872-06-09,Lloyd's Illustrated Newspaper,"-1. Rippington, pork. butcher, 35, Uppier Marylebone-street, scales ,oz short, third ofeunce, 20s","-E. Rippington, pork-butcher, 35, Upper Marylebone-street, scales 1/4oz short, third offence, 20s",0.0927835051546391
3206260927,1885-12-27,Lloyd's Illustrated Newspaper,"-A lady lname"" Barnard, who lives at Norbiton, was charged on remand at the Westminster police-court on U eWdnes- day, with robbing the Army and Navy stores.","-A lady named Barnard, who lives at Norbiton, was charged on remand at the Westminster police-court on Wednesday, with robbing the Army and Navy stores.",0.0460526315789473
3206274505,1890-12-21,Lloyd's Illustrated Newspaper,BATERSEA WIFE MURDER.,BATTERSEA WIFE MURDER.,0.0454545454545454
3206206688,1859-10-23,Lloyd's Illustrated Newspaper,"Harriett Taylor, who lives in the neighbourhood, said she knew Stokes well.","Harriett Taylor, who lives in the neighbourhood, said she knew Stokes well.",0.0
3200810281,1892-04-09,Illustrated Police News,"The prisoner struggled andd eaid, ""What are yu I , doing-you bave made a mistake; where are your, 1d d witnesses t''","The prisoner struggled and said, ""What are you doing-you have made a mistake; where are your witnesses?""",0.173076923076923
3200811327,1893-02-25,Illustrated Police News,Inspector Sewell deposed to the prisoner surrendering at Brixton Police-station.,Inspector Sewell deposed to the prisoner surrendering at Brixton Police-station.,0.0
3206275945,1891-04-26,Lloyd's Illustrated Newspaper,"-Mr. George Kirk, the solicitor engaged for the defence, told our reporter that he did not feel at liberty to disclose the details of the evi- dence which he was prepared to ofe~r; but he -added that, to put the matter briefly, be intended to establish an alibi.","–Mr. George Kirk, the solicitor engaged for the defence, told our reporter that he did not feel at liberty to disclose the details of the evidence which he was prepared to offer; but he added that, to put the matter briefly, he intended to establish an alibi.",0.027027027027027
3206319497,1873-09-28,Lloyd's Illustrated Newspaper,-ALL13ED XMVLAUGHTER BY CoceTRaCTORs.,-ALLEGED MANSLAUGHTER BY CONTRACTORS.,0.2972972972972973
3206328955,1877-09-30,Lloyd's Illustrated Newspaper,"Msrs. Payne, a wvitness, who reslide.1 in the same house with the prisoner, said that thde child was crying almost the whole of tileday.","Mrs. Payne, a witness, who resided in the same house with the prisoner, said that the child was crying almost the whole of the day.",0.0687022900763358
3206304816,1853-04-24,Lloyd's Illustrated Newspaper,"CHAR0.E OF ATTEMPT TO MURDER.,",CHARGE OF ATTEMPT TO MURDER.,0.1071428571428571
3207644658,1835-05-09,Morning Chronicle,"Either let the country be given up to the aris- tocracy aind parsons, or protect the tenantsfrom worse than slavery.","Either let the country be given up to the aristocracy and parsons, or protect the tenants from worse than slavery.",0.0350877192982456
3206210013,1860-12-23,Lloyd's Illustrated Newspaper,"A constable was then sent for, several persons assem. bled on the spot in a short time, and a search was in. stituted, which ended in the discovery of the young. est child in the ditch.","A constable was then sent for, several persons assembled on the spot in a short time, and a search was instituted, which ended in the discovery of the youngest child in the ditch.",0.0335195530726257
3206304573,1853-03-20,Lloyd's Illustrated Newspaper,"-COnaiderable excitement was occasioned in the neighbourhood of Hume's-close, Canangate, by the- report of a murder, of which a labouring man residing there was the victim, and of which his wife, it is alleged, was the perpetrator.","-Considerable excitement was occasioned in the neighbourhood of Hume's-close, Canongate, by the report of a murder, of which a labouring man residing there was the victim, and of which his wife, it is alleged, was the perpetrator.",0.017391304347826
3202413238,1853-03-27,The Era,"The inquiry excited the utmost interest, ald gany tb gmWialc and private friends of the lunatic and family were presentt","The inquiry excited the utmost interest, and many theatrical and private friends of the lunatic and family were present.",0.0833333333333333
3206201407,1852-10-31,Lloyd's Illustrated Newspaper,"A closer inspection, however, .shswed that the sheets, blankets, and bedding, had been recently washed, with a view to remove any stains, but -on the pillows thece were some visible traces of blood.","A closer inspection, however, showed that the sheets, blankets, and bedding, had been recently washed, with a view to remove any stains, but on the pillows there were some visible traces of blood.",0.0204081632653061
3200810876,1892-10-15,Illustrated Police News,"Dr. William J. Sheppard said the deceesed, on examina tion of the body, revealed that both shoulders were crnshed, the arnie nearly ninputated, aud the chest crnshed in,","Dr. William J. Sheppard said the deceased, on examination of the body, revealed that both shoulders were crushed, the arms nearly amputated, and the chest crushed in.",0.072289156626506
3200812186,1893-10-21,Illustrated Police News,"Police-sergeant 35 came to his assistance, and was kicked by Greenwood.","Police-sergeant 35 came to his assistance, and was kicked by Greenwood.",0.0
3206223532,1865-10-08,Lloyd's Illustrated Newspaper,-The deputy-chairman therefore sentenced the prisoner to be imprisoned and kept to hard labour in the house of correction for six calendar months.,-The deputy-chairman therefore sentenced the prisoner to be imprisoned and kept to hard labour in the house of correction for six calendar months.,0.0
3206200069,1852-04-11,Lloyd's Illustrated Newspaper,"After a short absence they returned, and fouind the prisoners ""`Guilty.""","After a short absence they returned, and found the prisoners ""Guilty.""",0.0285714285714285
3200801619,1885-06-20,Illustrated Police News,"Tll. trial oi Peton tle doblu chlarge of poisoning his first wife--his second is still living-and a servant who was also his mistress, has resulted in a verdict of ty guilty agaiust the prisoner on the second count, or althougbh the jury were unable to makeup their minds at to convict him on the first, notwithstanding the de- of clared presence of arsenic in the exhumed remains of ts his wife.","THE trial of Pel on the double charge of poisoning his first wife – his second is still living – and a servant who was also his mistress, has resulted in a verdict of guilty against the prisoner on the second count, although the jury were unable to make up their minds to convict him on the first, notwithstanding the declared presence of arsenic in the exhumed remains of his wife.",0.094240837696335
3200810954,1892-11-05,Illustrated Police News,"-At the Croydon Borough Police-court, William BRobert Tuck, described as a labourer, without a home, was charged with stealing a sovereign, the property of Charles Ralls, his master.","-At the Croydon Borough Police-court, William Robert Tuck, described as a labourer, without a home, was charged with stealing a sovereign, the property of Charles Ralls, his master.",0.005524861878453
